cell_line,tissue
A2058,SKIN
A2780,OVARY
A375,SKIN
A427,LUNG
CAOV3,OVARY
COLO320DM,LARGE_INTESTINE
DLD1,LARGE_INTESTINE
EFM192B,BREAST
ES2,OVARY
HCT116,LARGE_INTESTINE
HT144,SKIN
HT29,LARGE_INTESTINE
KPL1,BREAST
LNCAP,PROSTATE
LOVO,LARGE_INTESTINE
MDAMB436,BREAST
MSTO211H,PLEURA
NCIH1650,LUNG
NCIH2122,LUNG
NCIH23,LUNG
NCIH460,LUNG
NCIH520,LUNG
OCUBM,BREAST
OV90,OVARY
OVCAR3,OVARY
PA1,OVARY
RKO,LARGE_INTESTINE
RPMI7951,SKIN
SKMEL30,SKIN
SKMES1,LUNG
SKOV3,OVARY
SW620,LARGE_INTESTINE
SW837,LARGE_INTESTINE
T47D,BREAST
UACC62,SKIN
UWB1289,OVARY
UWB1289BRCA1,OVARY
VCAP,PROSTATE
ZR751,BREAST
