cell_line,mae,mse,r2,evs,pearsonr
T47D,6.715692034078434,93.96857268207312,0.9094291452672347,0.9095625391648747,0.9537255495443342
UWB1289BRCA1,3.0914743875082533,19.817361145730437,0.918908558529852,0.9196094145311312,0.9589626811424337
HCT116,4.292120734490404,50.687115294294856,0.8011525176252792,0.8018790782270471,0.8955202077927624
KPL1,3.459097131788735,24.80417158880068,0.9299157470679271,0.9314027518034728,0.9654807626083903
UWB1289,3.4580714486936746,28.90470449517331,0.9387328511965397,0.9391868036590687,0.9691197977365213
MSTO,7.587443742885603,130.09568667838164,0.8787313163550544,0.8829561880927881,0.9396998671617753
SKMEL30,3.7408923952762656,30.168831472386536,0.9211002253973196,0.9234377347481594,0.960977109792406
HT144,3.9077805046122656,36.564628874559155,0.9457685478888066,0.9463204503040434,0.97279056427517
MDAMB436,2.736110521682831,16.441122179834082,0.8867606912892172,0.8892674008439208,0.9430188651872309
RKO,3.7228402401017466,30.14512699871178,0.8902146386761953,0.8911493055816812,0.9440525440763544
RPMI7951,3.563807459228735,31.762745731813887,0.8841978132942395,0.8845444026123633,0.9405036165365372
A2058,5.563625628235184,75.48090650513285,0.8513824641058392,0.862471788905661,0.9287001800813652
SKOV3,3.686475801178386,31.717146488765096,0.9133669658696916,0.9143623691894992,0.9562272372484267
OV90,3.145532418749157,22.98519800266973,0.92750270968945,0.9275667414005789,0.9631045664551067
LNCAP,9.013951009552832,199.59932629280098,0.8842301992003178,0.8861423118009027,0.9414328446466507
NCIH23,6.9846156720835575,123.89901407359099,0.9226615974505453,0.9243047560307772,0.96256804141779
VCAP,4.437165204329518,47.598060591905636,0.8871449123566414,0.887363722672386,0.9420436958777778
LOVO,3.6369384690541255,29.300624634821062,0.8884503418347921,0.8892605598858224,0.9432385018611704
DLD1,2.712584211268012,16.32480166685846,0.8772795551316067,0.8839046717270628,0.9404205530876175
OCUBM,3.3909173338421685,26.731960864998666,0.906338397028069,0.9065329335174269,0.9522211322490365
A2780,2.8705442682659643,20.673383546073772,0.939476275610875,0.9395297203408284,0.9692940719358374
PA1,4.755222364636688,51.468317122725814,0.8504556130898673,0.858142649415253,0.926364522703161
COLO320DM,3.509906783743242,28.83952019855953,0.8502543746426701,0.8526143036929971,0.9234177589121196
SKMES1,3.1363342556206026,23.656941066570422,0.9285486869726087,0.9286589167685553,0.963693115656927
SW620,3.990364216057285,37.7160958857288,0.8248340734316432,0.8348320423667985,0.9139789793992181
A427,3.812632180693447,33.39975861472866,0.8903430631990867,0.8903857559451693,0.9436038926753156
NCIH1650,3.7089774126699826,30.737967451153185,0.9156701393157856,0.9159332014299583,0.9570823907902668
CAOV3,6.711826232639965,87.72332700878684,0.9177343393905433,0.9260110430248207,0.9623423477239883
NCIH2122,7.627455895485956,190.5817857029352,0.9077817417917282,0.908048454275431,0.9557697880808185
OVCAR3,4.5256025649122895,45.66242136907572,0.9295192799058558,0.9297150669856228,0.9642234903790253
NCIH520,3.1292038354170484,22.081436366771932,0.9212934053401115,0.9236862107897341,0.961184818740562
UACC62,3.2825037685221083,24.791885239035178,0.9193033900316757,0.9193038478337244,0.9588355733588916
ES2,3.9082441726621413,37.185374719417126,0.8655317566798131,0.869338313944945,0.9325186660411745
NCIH460,3.9865120695096987,33.63249983108211,0.9002908361647316,0.9042340203722767,0.9512354677514472
A375,6.865656269991346,107.1249669693895,0.8099977580869815,0.8113838878454479,0.9007737918090466
SW837,3.561117326641867,28.803317968717426,0.9609166219337919,0.9619586663544736,0.9808278900558716
HT29,4.010241788097893,38.54836757611951,0.883509066969164,0.8908186699182515,0.9441112292137654
ZR751,4.186364363385482,34.74657805852934,0.9279748119909289,0.9297400397655567,0.9642650821188217
EFM192B,4.889811678946928,57.98067314609977,0.8831618941343096,0.8839829176460684,0.9402242209569476
